variant,parameter,value,shipped,trades,expectancy_r,win_rate,profit_factor,max_dd_r,ci_lo,ci_hi
F,min_efficiency,0.4,False,1568,-1.6224909746417762,0.15497448979591838,0.07991554815819348,-2544.065848238305,-1.6944914342785944,-1.5485212139616704
F,min_efficiency,0.5,False,1557,-1.6235310357143344,0.15414258188824662,0.07894299103557141,-2527.8378226072186,-1.6955352032791857,-1.5499519347000417
F,min_efficiency,0.6,True,1542,-1.6257824616133694,0.1549935149156939,0.07895812595699662,-2506.9565558078157,-1.6972275812299369,-1.5534056280642434
F,min_efficiency,0.7,False,1511,-1.6230083564945945,0.1555261416280609,0.08074919686069096,-2452.3656266633325,-1.6975466813710713,-1.5495563869351128
F,min_efficiency,0.8,False,1467,-1.5912020039028634,0.16155419222903886,0.08381439116953805,-2334.2933397255006,-1.6666730783702421,-1.5176120033075529
F,max_pullback_bars,2.0,False,1045,-1.6447611734663372,0.14641148325358852,0.07742956902509181,-1718.7754262723224,-1.7337015563701232,-1.555754579527721
F,max_pullback_bars,3.0,False,1344,-1.6243682893414377,0.15848214285714285,0.0819281755901279,-2183.1509808748924,-1.7040918855841691,-1.5488483012787737
F,max_pullback_bars,4.0,True,1542,-1.6257824616133694,0.1549935149156939,0.07895812595699662,-2506.9565558078157,-1.6972275812299369,-1.5534056280642434
F,max_pullback_bars,5.0,False,1674,-1.6140627955618707,0.15949820788530467,0.08002326285562436,-2701.9411197705717,-1.6831098607913073,-1.5432508501382105
F,max_pullback_bars,6.0,False,1758,-1.607793196336065,0.15813424345847554,0.08098807379586986,-2826.5004391588022,-1.6718672284677747,-1.5415120514225875
F,fallback_atr_mult,0.5,False,1881,-2.2955954557214757,0.11164274322169059,0.04754980046545396,-4318.015052212096,-2.375405155450495,-2.2151733115140795
F,fallback_atr_mult,1.0,True,1542,-1.6257824616133694,0.1549935149156939,0.07895812595699662,-2506.9565558078157,-1.6972275812299369,-1.5534056280642434
F,fallback_atr_mult,1.5,False,1386,-1.4774353919260468,0.17676767676767677,0.0959506210728573,-2047.7254532095008,-1.5547518122816355,-1.4012747493256597
F,fallback_atr_mult,2.0,False,1278,-1.5100411961614633,0.16666666666666666,0.08695391471961283,-1929.83264869435,-1.5851307288655576,-1.4324839417491115
