trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,bucket,variant,cut
10,0.4,0.6,0.0,-0.9162536573603622,-1.0740141540332004,0.6561268324174632,0.7807560322809481,-1.9645073172122458,-2.0798502118528974,0.3339905261073533,0.25501646578044795,43.14785102737769,169.1963336380212,-126.04848261064353,-0.9162536573603622,-9.300699190424133,-6731.7045699176715,4.0,-3.165990336422064,-3.789618809157415,-6.207641705085642,1.5176383089170933,1.2076516694548822,1.789504355749265,-1.518940331578995,1.0284733113473374,-1.3927287082966973,0.5,0.5,0.3,0.5,0.4,0.0,0.0,5.0,5-10,B,price
7,0.2857142857142857,0.7142857142857143,0.0,-0.6044968804608628,-1.4316635887042484,1.2245846051976608,1.2245846051976608,-1.3361294747242725,-1.6968586715766056,0.9165164217714526,0.3996095662332358,54.95359942328349,137.51822795755925,-82.56462853427576,-0.6044968804608628,-4.963594763026297,-677.9787214742172,4.0,-1.7444551110708748,-3.4615077216659387,-4.140860771551472,1.3766032306502183,0.8710846310009618,1.1341412236348596,-1.5121775369300785,0.5293017367008749,-1.4524572943479013,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0,0.0,6.0,10-20,B,price
2,0.0,1.0,0.0,-0.9038350011348165,-0.9038350011348165,,,-0.9038350011348165,-0.9038350011348165,,0.0,0.0,27.182900427557996,-27.182900427557996,-0.9038350011348165,-1.807670002269633,,2.0,-1.717052610595064,-1.717052610595064,-1.717052610595064,1.150063372459309,1.150063372459309,1.0048164469295446,-1.5699392589878576,1.0048164469295446,-1.5699392589878576,0.5,0.5,0.5,0.5,0.5,0.0,0.0,2.0,10-20,B,gap
14,0.2857142857142857,0.7142857142857143,0.0,-1.1036235616905035,-1.564261130140427,0.9518780388176873,1.0341086174623582,-1.92582420189378,-1.9930775576766928,0.494270472809329,0.31453574415075275,73.57819860587983,233.92635010224717,-160.34815149636734,-1.1036235616905035,-15.764259800603607,-5027.99188958896,4.0,-3.304152953242574,-5.955675197172717,-10.93036193910824,1.5622698878973749,1.1866053261193896,1.0827133002171943,-1.5287731027043692,0.659293152321995,-1.5330840279593527,0.5,0.42857142857142855,0.2857142857142857,0.5,0.2857142857142857,0.0,0.0,10.0,20-50,B,gap
8,0.375,0.625,0.0,-0.8742722367175572,-0.986774594853351,0.5893798351265963,0.7051442402718331,-1.752463479824049,-2.0240611502470336,0.3363150455984231,0.20141192685232953,29.13059064227123,144.63190486047577,-115.50131421820456,-0.8742722367175572,-7.8374847508328,-929.375195389237,3.0,-3.2743907202182907,-4.333999951978682,-7.470228055376463,1.4084602339643126,1.1359218191654696,1.7460411538212166,-1.499156694654321,0.9141382900146875,-1.5093999845231765,0.625,0.5,0.25,0.375,0.125,0.0,0.0,5.0,50-100,B,gap
2,0.0,1.0,0.0,-5.431288375989226,-5.431288375989226,,,-5.431288375989226,-5.431288375989226,,0.0,0.0,96.81282114563453,-96.81282114563453,-5.431288375989226,-10.862576751978452,,2.0,-10.862576751978452,-10.862576751978452,-10.862576751978452,5.525174760878822,5.525174760878822,0.2370048992474313,-5.141900654812367,0.2370048992474313,-5.141900654812367,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,>100,B,gap
7,0.14285714285714285,0.8571428571428571,0.0,-1.1597961386540576,-1.717052610595064,1.2118494106346531,1.2118494106346531,-1.555070396868843,-1.7307538608329693,0.7792891004000395,0.23195799131936984,27.086492909729238,116.77326896849773,-89.6867760587685,-1.1597961386540576,-8.118572970578404,,5.0,-3.304152953242574,-4.566447857237896,-8.027955578903835,1.4596256550165447,1.1757033206638472,0.9417603843816271,-1.5883064943265564,0.5293017367008749,-1.890690308860313,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.0,5.0,<20,B,pullback_depth
8,0.25,0.75,0.0,-1.0880342325977592,-1.4780317120176492,0.713403884436405,0.713403884436405,-1.6885136049424805,-1.6106292534538278,0.4225040783492575,0.13210336008389076,21.5872757455301,163.41201110873592,-141.82473536320583,-1.0880342325977592,-8.704273860782074,,3.0,-2.5895448409078075,-3.9091284864310984,-4.795145374350974,1.2837504054738214,1.0049525456422432,0.8261833973351349,-1.6918871453060005,0.39173239150494243,-1.6012777717528794,0.375,0.375,0.25,0.625,0.375,0.0,0.0,8.0,20-35,B,pullback_depth
10,0.4,0.6,0.0,-1.611714546203641,-1.1265776144414303,0.7342486202857688,0.7807560322809481,-3.1756899905299143,-2.163775039757504,0.23120916162325017,0.29408777302965766,54.03502059289173,183.73773256952953,-129.7027119766378,-1.611714546203641,-16.25530807885692,-11765.344673497682,2.0,-8.862126755011396,-10.997766028470156,-10.997766028470156,3.1153835232380427,2.872089829784243,1.8408168256611934,-2.044773991706783,1.1220149787678881,-1.45686822386135,0.6,0.5,0.3,0.4,0.2,0.0,0.0,7.0,35-50,B,pullback_depth
1,0.0,1.0,0.0,-2.175162218258703,-2.175162218258703,,,-2.175162218258703,-2.175162218258703,,0.0,0.0,38.63096388915227,-38.63096388915227,-2.175162218258703,-2.175162218258703,,1.0,-2.175162218258703,-2.175162218258703,-2.175162218258703,,,0.0,-1.7187742828944572,0.0,-1.7187742828944572,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,>50,B,pullback_depth
