trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,window,variant
30,0.3,0.7,0.0,-1.011068744686093,-1.4539221275585428,0.6781395994902906,0.9245584985034612,-1.7350151779045428,-1.6676984602822664,0.39085513955521173,0.20931053836844904,121.32805710147386,579.6557500028988,-458.32769290142477,-1.011068744686093,-30.33206234058279,,4.0,-3.304212236784399,-4.228522228548255,-4.560212414177746,1.3069309285134962,1.0169116456351504,0.7828618348203308,-1.5186707656818668,0.454019455295406,-1.474455729906228,0.4666666666666667,0.36666666666666664,0.2,0.5333333333333333,0.3333333333333333,0.0,0.1,28.0,09:30-10:00,C
7,0.2857142857142857,0.7142857142857143,0.0,-0.8430706314230846,-0.3434243377492383,0.5729679612718941,0.5729679612718941,-1.4094860685010762,-1.894574158171306,0.40650842464957404,0.2448625337497052,26.14348443085956,106.76800582968333,-80.62452139882377,-0.8430706314230846,-5.901494419961592,,2.0,-2.480536254858199,-2.480536254858199,-2.480536254858199,1.349620429923418,1.1288939838551404,1.0235091594698509,-1.4330864798784209,1.114198278076446,-1.377697994208774,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0,7.0,10:00-10:30,C
12,0.08333333333333333,0.9166666666666666,0.0,-2.0697852146637925,-2.4703490323953563,0.6497820190434824,0.6497820190434824,-2.317018599546272,-2.567259388437887,0.28043884463021806,0.02671217024932548,8.011812294806125,299.9311632123352,-291.9193509175291,-2.0697852146637925,-24.837422575965512,,10.0,-5.928772855820894,-5.928772855820894,-5.928772855820894,1.1065809875648638,0.9687159484191419,0.5245424700628112,-1.9915382506817594,0.04626324290259915,-1.874828382044344,0.3333333333333333,0.25,0.08333333333333333,0.6666666666666666,0.5833333333333334,0.0,0.0,11.0,10:30-11:30,C
53,0.1509433962264151,0.8490566037735849,0.0,-1.6809634120491728,-1.9466223920931431,0.7861510686680108,0.9407807537447441,-2.11956154195445,-2.093293550614311,0.370902685818266,0.08983228217873127,127.3143263854488,1417.2447064424218,-1289.9303800569733,-1.6809634120491728,-89.09106083860615,,12.0,-4.842332826202599,-7.013755964190029,-12.621788499763904,1.2043688511458068,0.9606572104853502,0.7323283766645428,-1.8891265141707627,0.3331951688960463,-1.8730682509726675,0.37735849056603776,0.22641509433962265,0.18867924528301888,0.6226415094339622,0.37735849056603776,0.018867924528301886,0.018867924528301886,46.0,11:30-16:00,C
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premarket,C
13,0.3076923076923077,0.6923076923076923,0.0,-0.8306764995945206,-1.433708279513076,0.8883310634216806,0.9709996509418581,-1.5946798609350543,-1.8435039358750471,0.5570591848452893,0.30060471502096914,66.8215724141813,222.29050003264274,-155.46892761846144,-0.8306764995945206,-11.954587183712153,,3.0,-2.6761459086798407,-2.6761459086798407,-3.3918842545406216,1.4245557917284748,1.0818664837631982,1.0179232040715946,-1.4673561502645582,0.7357514581619136,-1.4031921874276825,0.5384615384615384,0.46153846153846156,0.3076923076923077,0.46153846153846156,0.38461538461538464,0.0,0.15384615384615385,13.0,09:30-10:00,D
1,0.0,1.0,0.0,-0.1229817964975378,-0.1229817964975378,,,-0.1229817964975378,-0.1229817964975378,,0.0,0.0,2.3373674372869075,-2.3373674372869075,-0.1229817964975378,-0.1229817964975378,,1.0,-0.1229817964975378,-0.1229817964975378,-0.1229817964975378,,,1.4226828610984137,-1.3133240310378975,1.4226828610984137,-1.3133240310378975,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10:00-10:30,D
5,0.2,0.8,0.0,-2.032714282866526,-2.718142301437413,0.6497820190434824,0.6497820190434824,-2.703338358344028,-2.790196044613815,0.24036281549362418,0.07819345319419602,8.011812294806125,102.4614205860499,-94.44960829124378,-2.032714282866526,-10.813353433376111,,4.0,-5.928772855820894,-5.928772855820894,-5.928772855820894,1.5362592426886754,1.2541996904938812,0.7067502432448128,-1.933889083873509,0.0,-1.916773955842567,0.4,0.4,0.2,0.6,0.4,0.0,0.0,4.0,10:30-11:30,D
22,0.13636363636363635,0.8636363636363636,0.0,-1.6847377637356802,-2.040118536165019,0.7614727709759577,0.9578623772618192,-2.07098153237436,-2.127402127848361,0.3676868958377126,0.08965289825277636,46.30333057656255,516.4733263392144,-470.16999576265187,-1.6847377637356802,-37.064230802184966,,9.0,-3.4502068660018232,-5.723764916467486,-7.851167044315847,1.1840950284198068,0.9631238226028946,0.7337290560934128,-2.0825179133253213,0.27421929449426796,-1.8942075259361824,0.4090909090909091,0.2727272727272727,0.18181818181818182,0.5909090909090909,0.2727272727272727,0.0,0.045454545454545456,22.0,11:30-16:00,D
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premarket,D
