trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,variant,cost_model,ambiguity_policy
4,0.25,0.75,0.0,-0.5170333615341534,-0.4346507358490799,0.9475551943945508,0.9475551943945508,-1.0052295468437216,-0.6434268569823853,0.9426256891968008,0.36229819475109265,21.34098357980865,58.90447120353555,-37.5634876237269,-0.5170333615341534,-3.015688640531164,-318.25994500067793,3.0,-2.1463871688330047,-1.4247065891542283,-1.4247065891542283,1.2780926151961838,0.9658158634427538,1.4663535718768859,-1.4843909134607234,1.5807640257126472,-1.4143261979274593,0.75,0.75,0.25,0.25,0.25,0.0,0.0,3.0,A,stressed,optimistic
3,0.3333333333333333,0.6666666666666666,0.0,0.02608457423213036,-0.2258746147157744,0.9475551943945508,0.9475551943945508,-0.4346507358490799,-0.4346507358490799,2.180038169137168,1.4056163354313835,21.34098357980865,15.182651938417537,6.158331641391115,0.02608457423213036,-0.8693014716981597,-91.74151298422336,2.0,-0.6434268569823853,-0.6434268569823853,-0.6434268569823853,0.8248748672510003,0.32643716518423194,1.9551380958358477,-1.26482851422528,1.808259405848236,-1.1159435245890008,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,A,stressed,exclude
27,0.4444444444444444,0.5555555555555556,0.0,-0.2792629769451487,-1.0,1.081771995458016,1.5,-1.3680909548676803,-1.0,0.7907164297878451,0.7130844052136984,194.30303866566987,272.48252415145834,-78.17948548578846,-0.2792629769451487,-10.683342928389475,-2136.668585677895,3.0,-4.631954397637742,-6.631954397637742,-6.631954397637742,1.6304230419115788,1.2136282020476834,1.4968616573372255,-1.2810127982521555,0.858688775539311,-1.1666664547389107,0.7037037037037037,0.48148148148148145,0.2962962962962963,0.2962962962962963,0.3333333333333333,0.0,0.0,14.0,B,gross,pessimistic
27,0.5555555555555556,0.4444444444444444,0.0,-0.15332560290905473,0.3750030398383317,1.0237916653647043,1.4999999999999998,-1.6247221882512533,-1.0,0.630133368503232,0.7958190366694583,222.693084365743,279.82879788566567,-57.135713519922746,-0.15332560290905473,-9.154769985312743,-1830.9539970625488,3.0,-5.857251343852037,-3.8566433487159983,-3.8566433487159983,1.7412408230184948,1.3215475258991467,1.692859042434701,-1.4223501825908569,1.223591790595439,-1.1666664547389107,0.8518518518518519,0.5555555555555556,0.3333333333333333,0.14814814814814814,0.3333333333333333,0.0,0.0,14.0,B,gross,optimistic
18,0.6666666666666666,0.3333333333333333,0.0,0.3878479969720107,0.4981751824817518,1.081771995458016,1.5,-1.0,-1.0,1.081771995458016,1.989746805935372,194.30303866566987,97.65214251686098,96.65089614880888,0.3878479969720107,-2.5037593984962405,-29.50836652291575,2.0,-1.0,-1.0036496350364965,3.3418547524063777,1.101356403097164,0.485071250072666,1.974891114604496,-0.9333833322815762,1.8430883508466747,-0.6962858123812252,0.8333333333333334,0.6666666666666666,0.4444444444444444,0.16666666666666666,0.0,0.0,0.0,10.0,B,gross,exclude
27,0.37037037037037035,0.6296296296296297,0.0,-0.8228041174115844,-1.2691430967565809,0.7289313442469341,0.9818973104940646,-1.7355896830930655,-1.5087790304021882,0.41999059532773647,0.30799688681867154,120.13349219828997,390.04774833654966,-269.91425613825976,-0.8228041174115844,-22.48249087628881,-8427.361735474,4.0,-8.164439328291271,-11.346417724888221,-11.346417724888221,1.7908870770568348,1.5394713978059051,1.3222214114155173,-1.480070415409303,0.7137842406285009,-1.3452708131537587,0.5925925925925926,0.4444444444444444,0.2222222222222222,0.4074074074074074,0.3333333333333333,0.0,0.0,14.0,B,low,pessimistic
27,0.4074074074074074,0.5925925925925926,0.0,-0.7984166587562188,-1.217309286900305,0.7616477386629317,1.0423390840371636,-1.8709609319818847,-1.5087994200671084,0.40708906618169094,0.33491662336600064,135.58375140953962,404.82837204939864,-269.2446206398589,-0.7984166587562188,-21.82402949259394,-8180.543342451109,4.0,-9.389752884475012,-9.685557877094334,-11.87169190932357,1.8973749283257202,1.6246949128467216,1.5166741206932117,-1.6214077997480048,0.9582934349742754,-1.3750391566119124,0.6666666666666666,0.48148148148148145,0.25925925925925924,0.3333333333333333,0.3333333333333333,0.0,0.0,14.0,B,low,optimistic
18,0.5555555555555556,0.4444444444444444,0.0,-0.12405835204221656,0.06437217279010735,0.7289313442469341,0.9818973104940646,-1.1902954724036547,-1.3879616666802141,0.6123952927208463,0.8177264481680977,120.13349219828997,146.91158940427775,-26.778097205987777,-0.12405835204221656,-4.982261152766274,-181.22514009324777,3.0,-1.988623798600896,-3.146082027347941,-4.551415304253466,1.1517016960826771,0.7662729477111209,1.815638320369708,-1.1211539606769338,1.6644977260950231,-0.8785836932684885,0.7777777777777778,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,10.0,B,low,exclude
26,0.2692307692307692,0.7307692307692307,0.0,-1.3505828658329073,-1.6106292534538278,0.7965216658072196,0.8563678242900633,-2.1416213774897965,-1.850515841894624,0.37192459609309003,0.20437364749577483,102.70878924815108,502.55397653591547,-399.8451872877644,-1.3505828658329073,-35.2533171284761,-25515.81458121509,7.0,-10.477143982017013,-14.997511906575824,-20.117642605079766,2.1338955782521682,1.9206748215519585,1.2157676202294003,-1.8007598777960074,0.5016557675978688,-1.666242522232631,0.5,0.4230769230769231,0.2692307692307692,0.5,0.3076923076923077,0.0,0.0,14.0,B,realistic,pessimistic
26,0.3076923076923077,0.6923076923076923,0.0,-1.3140988614318672,-1.5642852733076105,0.7962397986105644,0.8253172762620199,-2.252027154784059,-2.0793980133008922,0.3535658071080914,0.22392317407011347,113.97944975600868,509.0114063867285,-395.0319566307199,-1.3140988614318672,-34.304733014049056,-24829.243831285417,7.0,-11.702470059488457,-13.04293820760923,-21.123632189619315,2.2318141551214503,2.0023533058420404,1.3969282378082046,-1.9475333153785053,0.7641447283178031,-1.7344362660261576,0.5769230769230769,0.46153846153846156,0.3076923076923077,0.4230769230769231,0.3076923076923077,0.0,0.0,14.0,B,realistic,optimistic
